Date,Plant,Machine,Product,Units_Produced,Defective_Units
2026-01-01,Plant C,M-05,P-05,1042,77
2026-01-01,Plant C,M-05,P-02,836,15
2026-01-01,Plant C,M-05,P-01,856,21
2026-01-02,Plant A,M-01,P-05,990,58
2026-01-02,Plant A,M-01,P-01,971,27
2026-01-02,Plant A,M-01,P-04,894,22
2026-01-02,Plant A,M-02,P-02,904,23
2026-01-02,Plant A,M-02,P-02,993,18
2026-01-02,Plant A,M-02,P-01,974,13
2026-01-02,Plant A,M-03,P-04,804,21
2026-01-02,Plant A,M-03,P-05,1034,75
2026-01-02,Plant A,M-03,P-05,839,56
2026-01-02,Plant A,M-04,P-03,866,20
2026-01-02,Plant A,M-04,P-05,875,58
2026-01-02,Plant A,M-04,P-01,917,30
2026-01-02,Plant A,M-05,P-03,1127,19
2026-01-02,Plant A,M-05,P-04,654,14
2026-01-02,Plant A,M-05,P-05,731,55
2026-01-02,Plant B,M-01,P-05,948,51
2026-01-02,Plant B,M-01,P-05,940,64
2026-01-02,Plant B,M-01,P-04,940,10
2026-01-02,Plant B,M-02,P-05,966,73
2026-01-02,Plant B,M-02,P-01,960,13
2026-01-02,Plant B,M-02,P-04,702,6
2026-01-02,Plant B,M-03,P-04,920,22
2026-01-02,Plant B,M-03,P-01,618,12
2026-01-02,Plant B,M-03,P-02,869,29
2026-01-02,Plant B,M-04,P-06,982,26
2026-01-02,Plant B,M-04,P-06,450,14
2026-01-02,Plant B,M-04,P-05,566,47
2026-01-02,Plant B,M-05,P-05,973,45
2026-01-02,Plant B,M-05,P-05,898,76
2026-01-02,Plant B,M-05,P-05,558,30
2026-01-02,Plant C,M-01,P-04,1030,18
2026-01-02,Plant C,M-01,P-02,910,31
2026-01-02,Plant C,M-01,P-03,861,21
2026-01-02,Plant C,M-02,P-03,862,19
2026-01-02,Plant C,M-02,P-02,902,14
2026-01-02,Plant C,M-02,P-01,690,14
2026-01-02,Plant C,M-03,P-05,1165,55
2026-01-02,Plant C,M-03,P-03,987,21
2026-01-02,Plant C,M-03,P-05,769,43
2026-01-02,Plant C,M-04,P-05,1040,60
2026-01-02,Plant C,M-04,P-02,858,10
2026-01-02,Plant C,M-04,P-01,604,8
2026-01-02,Plant C,M-05,P-06,898,13
2026-01-02,Plant C,M-05,P-06,1052,29
2026-01-02,Plant C,M-05,P-01,809,11
2026-01-03,Plant A,M-01,P-01,829,19
2026-01-03,Plant A,M-01,P-01,910,29
2026-01-03,Plant A,M-01,P-03,972,30
2026-01-03,Plant A,M-02,P-06,796,17
2026-01-03,Plant A,M-02,P-04,1077,28
2026-01-03,Plant A,M-02,P-03,948,12
2026-01-03,Plant A,M-03,P-03,911,21
2026-01-03,Plant A,M-03,P-04,965,19
2026-01-03,Plant A,M-03,P-02,836,14
2026-01-03,Plant A,M-04,P-06,1084,36
2026-01-03,Plant A,M-04,P-03,620,17
2026-01-03,Plant A,M-04,P-03,825,18
2026-01-03,Plant A,M-05,P-05,678,47
2026-01-03,Plant A,M-05,P-01,795,18
2026-01-03,Plant A,M-05,P-03,630,18
2026-01-03,Plant B,M-01,P-04,914,15
2026-01-03,Plant B,M-01,P-01,969,29
2026-01-03,Plant B,M-01,P-04,958,21
2026-01-03,Plant B,M-02,P-04,1044,15
2026-01-03,Plant B,M-02,P-03,895,30
2026-01-03,Plant B,M-02,P-05,683,52
2026-01-03,Plant B,M-03,P-02,821,22
2026-01-03,Plant B,M-03,P-06,930,16
2026-01-03,Plant B,M-03,P-02,966,18
2026-01-03,Plant B,M-04,P-03,862,17
2026-01-03,Plant B,M-04,P-01,687,16
2026-01-03,Plant B,M-04,P-04,774,16
2026-01-03,Plant B,M-05,P-05,893,47
2026-01-03,Plant B,M-05,P-05,910,60
2026-01-03,Plant B,M-05,P-02,771,13
2026-01-03,Plant C,M-01,P-03,1025,31
2026-01-03,Plant C,M-01,P-01,995,21
2026-01-03,Plant C,M-01,P-01,823,11
2026-01-03,Plant C,M-02,P-06,1102,20
2026-01-03,Plant C,M-02,P-02,643,20
2026-01-03,Plant C,M-02,P-04,656,19
2026-01-03,Plant C,M-03,P-06,1115,23
2026-01-03,Plant C,M-03,P-01,673,7
2026-01-03,Plant C,M-03,P-04,698,13
2026-01-03,Plant C,M-04,P-04,834,26
2026-01-03,Plant C,M-04,P-02,926,16
2026-01-03,Plant C,M-04,P-02,868,25
2026-01-03,Plant C,M-05,P-03,992,20
2026-01-03,Plant C,M-05,P-06,1069,24
2026-01-03,Plant C,M-05,P-04,916,15
2026-01-04,Plant A,M-01,P-01,855,12
2026-01-04,Plant A,M-01,P-05,702,54
2026-01-04,Plant A,M-01,P-01,890,20
2026-01-04,Plant A,M-02,P-05,726,51
2026-01-04,Plant A,M-02,P-01,1022,13
2026-01-04,Plant A,M-02,P-02,1002,19
2026-01-04,Plant A,M-03,P-06,1021,25
2026-01-04,Plant A,M-03,P-03,780,18
2026-01-04,Plant A,M-03,P-04,903,28
2026-01-04,Plant A,M-04,P-06,1204,11
2026-01-04,Plant A,M-04,P-05,1135,79
2026-01-04,Plant A,M-04,P-01,920,10
2026-01-04,Plant A,M-05,P-06,983,32
2026-01-04,Plant A,M-05,P-01,1005,24
2026-01-04,Plant A,M-05,P-02,703,21
2026-01-04,Plant B,M-01,P-03,1071,32
2026-01-04,Plant B,M-01,P-06,717,24
2026-01-04,Plant B,M-01,P-02,931,23
2026-01-04,Plant B,M-02,P-01,935,29
2026-01-04,Plant B,M-02,P-04,615,14
2026-01-04,Plant B,M-02,P-04,659,14
2026-01-04,Plant B,M-03,P-05,927,75
2026-01-04,Plant B,M-03,P-02,672,14
2026-01-04,Plant B,M-03,P-04,920,24
2026-01-04,Plant B,M-04,P-06,720,6
2026-01-04,Plant B,M-04,P-02,668,14
2026-01-04,Plant B,M-04,P-05,497,29
2026-01-04,Plant B,M-05,P-05,891,52
2026-01-04,Plant B,M-05,P-06,722,7
2026-01-04,Plant B,M-05,P-01,684,21
2026-01-04,Plant C,M-01,P-05,841,50
2026-01-04,Plant C,M-01,P-01,785,15
2026-01-04,Plant C,M-01,P-05,717,38
2026-01-04,Plant C,M-02,P-03,1010,25
2026-01-04,Plant C,M-02,P-01,1058,15
2026-01-04,Plant C,M-02,P-01,876,11
2026-01-04,Plant C,M-03,P-05,600,27
2026-01-04,Plant C,M-03,P-04,746,8
2026-01-04,Plant C,M-03,P-04,877,10
2026-01-04,Plant C,M-04,P-05,842,54
2026-01-04,Plant C,M-04,P-03,879,7
2026-01-04,Plant C,M-04,P-01,992,26
2026-01-04,Plant C,M-05,P-02,1041,10
2026-01-04,Plant C,M-05,P-02,1068,9
2026-01-04,Plant C,M-05,P-03,848,20
2026-01-05,Plant A,M-01,P-01,1006,21
2026-01-05,Plant A,M-01,P-04,1008,9
2026-01-05,Plant A,M-01,P-06,633,10
2026-01-05,Plant A,M-02,P-05,932,68
2026-01-05,Plant A,M-02,P-01,695,21
2026-01-05,Plant A,M-02,P-05,738,43
2026-01-05,Plant A,M-03,P-04,1139,21
2026-01-05,Plant A,M-03,P-02,1123,17
2026-01-05,Plant A,M-03,P-03,813,26
2026-01-05,Plant A,M-04,P-04,647,6
2026-01-05,Plant A,M-04,P-06,1011,25
2026-01-05,Plant A,M-04,P-04,662,19
2026-01-05,Plant A,M-05,P-05,1053,53
2026-01-05,Plant A,M-05,P-03,693,6
2026-01-05,Plant A,M-05,P-05,773,41
2026-01-05,Plant B,M-01,P-02,1101,10
2026-01-05,Plant B,M-01,P-03,892,10
2026-01-05,Plant B,M-01,P-03,891,28
2026-01-05,Plant B,M-02,P-03,861,9
2026-01-05,Plant B,M-02,P-06,634,19
2026-01-05,Plant B,M-02,P-02,959,10
2026-01-05,Plant B,M-03,P-04,968,18
2026-01-05,Plant B,M-03,P-02,1065,11
2026-01-05,Plant B,M-03,P-03,843,21
2026-01-05,Plant B,M-04,P-02,899,7
2026-01-05,Plant B,M-04,P-04,709,17
2026-01-05,Plant B,M-04,P-03,897,19
2026-01-05,Plant B,M-05,P-02,1125,13
2026-01-05,Plant B,M-05,P-04,863,19
2026-01-05,Plant B,M-05,P-03,875,22
2026-01-05,Plant C,M-01,P-04,984,15
2026-01-05,Plant C,M-01,P-04,913,24
2026-01-05,Plant C,M-01,P-04,696,9
2026-01-05,Plant C,M-02,P-01,1153,24
2026-01-05,Plant C,M-02,P-01,874,19
2026-01-05,Plant C,M-02,P-02,614,18
2026-01-05,Plant C,M-03,P-01,887,26
2026-01-05,Plant C,M-03,P-02,1091,34
2026-01-05,Plant C,M-03,P-05,804,44
2026-01-05,Plant C,M-04,P-01,1037,27
2026-01-05,Plant C,M-04,P-05,839,62
2026-01-05,Plant C,M-04,P-05,657,40
2026-01-05,Plant C,M-05,P-06,1110,15
2026-01-05,Plant C,M-05,P-06,851,17
2026-01-05,Plant C,M-05,P-02,801,7
2026-01-06,Plant A,M-01,P-04,992,10
2026-01-06,Plant A,M-01,P-04,746,25
2026-01-06,Plant A,M-01,P-04,881,19
2026-01-06,Plant A,M-02,P-02,835,7
2026-01-06,Plant A,M-02,P-02,910,13
2026-01-06,Plant A,M-02,P-03,777,24
2026-01-06,Plant A,M-03,P-01,751,23
2026-01-06,Plant A,M-03,P-06,691,8
2026-01-06,Plant A,M-03,P-06,791,9
2026-01-06,Plant A,M-04,P-04,760,25
2026-01-06,Plant A,M-04,P-05,823,41
2026-01-06,Plant A,M-04,P-04,557,8
2026-01-06,Plant A,M-05,P-05,657,39
2026-01-06,Plant A,M-05,P-02,959,18
2026-01-06,Plant A,M-05,P-05,898,62
2026-01-06,Plant B,M-01,P-01,793,9
2026-01-06,Plant B,M-01,P-06,994,20
2026-01-06,Plant B,M-01,P-05,627,34
2026-01-06,Plant B,M-02,P-02,1041,31
2026-01-06,Plant B,M-02,P-05,998,63
2026-01-06,Plant B,M-02,P-05,862,61
2026-01-06,Plant B,M-03,P-05,1092,79
2026-01-06,Plant B,M-03,P-05,717,54
2026-01-06,Plant B,M-03,P-02,756,9
2026-01-06,Plant B,M-04,P-01,666,18
2026-01-06,Plant B,M-04,P-03,700,23
2026-01-06,Plant B,M-04,P-03,446,13
2026-01-06,Plant B,M-05,P-02,774,26
2026-01-06,Plant B,M-05,P-03,740,18
2026-01-06,Plant B,M-05,P-06,780,9
2026-01-06,Plant C,M-01,P-01,1159,26
2026-01-06,Plant C,M-01,P-02,936,23
2026-01-06,Plant C,M-01,P-06,721,18
2026-01-06,Plant C,M-02,P-06,1072,35
2026-01-06,Plant C,M-02,P-02,921,31
2026-01-06,Plant C,M-02,P-04,783,9
2026-01-06,Plant C,M-03,P-04,1013,23
2026-01-06,Plant C,M-03,P-04,880,11
2026-01-06,Plant C,M-03,P-06,771,17
2026-01-06,Plant C,M-04,P-02,734,22
2026-01-06,Plant C,M-04,P-03,824,22
2026-01-06,Plant C,M-04,P-03,706,13
2026-01-06,Plant C,M-05,P-04,940,21
2026-01-06,Plant C,M-05,P-06,661,16
2026-01-06,Plant C,M-05,P-05,602,39
2026-01-07,Plant A,M-01,P-04,1053,31
2026-01-07,Plant A,M-01,P-01,751,16
2026-01-07,Plant A,M-01,P-06,650,15
2026-01-07,Plant A,M-02,P-03,882,23
2026-01-07,Plant A,M-02,P-03,923,19
2026-01-07,Plant A,M-02,P-05,922,75
2026-01-07,Plant A,M-03,P-04,1056,27
2026-01-07,Plant A,M-03,P-06,1073,16
2026-01-07,Plant A,M-03,P-06,682,6
2026-01-07,Plant A,M-04,P-03,745,16
2026-01-07,Plant A,M-04,P-06,775,7
2026-01-07,Plant A,M-04,P-06,856,21
2026-01-07,Plant A,M-05,P-01,1077,24
2026-01-07,Plant A,M-05,P-05,653,50
2026-01-07,Plant A,M-05,P-02,742,19
2026-01-07,Plant B,M-01,P-03,769,22
2026-01-07,Plant B,M-01,P-03,969,27
2026-01-07,Plant B,M-01,P-05,623,51
2026-01-07,Plant B,M-02,P-04,694,15
2026-01-07,Plant B,M-02,P-06,763,8
2026-01-07,Plant B,M-02,P-03,844,13
2026-01-07,Plant B,M-03,P-06,822,24
2026-01-07,Plant B,M-03,P-03,958,26
2026-01-07,Plant B,M-03,P-05,749,60
2026-01-07,Plant B,M-04,P-06,834,16
2026-01-07,Plant B,M-04,P-03,819,26
2026-01-07,Plant B,M-04,P-05,662,38
2026-01-07,Plant B,M-05,P-04,1108,33
2026-01-07,Plant B,M-05,P-02,954,16
2026-01-07,Plant B,M-05,P-02,678,18
2026-01-07,Plant C,M-01,P-06,981,26
2026-01-07,Plant C,M-01,P-06,813,21
2026-01-07,Plant C,M-01,P-06,787,25
2026-01-07,Plant C,M-02,P-01,1054,34
2026-01-07,Plant C,M-02,P-03,743,13
2026-01-07,Plant C,M-02,P-06,691,22
2026-01-07,Plant C,M-03,P-01,711,24
2026-01-07,Plant C,M-03,P-03,760,8
2026-01-07,Plant C,M-03,P-05,787,61
2026-01-07,Plant C,M-04,P-01,1087,35
2026-01-07,Plant C,M-04,P-01,764,14
2026-01-07,Plant C,M-04,P-06,607,8
2026-01-07,Plant C,M-05,P-05,843,68
2026-01-07,Plant C,M-05,P-01,820,20
2026-01-07,Plant C,M-05,P-05,775,64
2026-01-08,Plant A,M-01,P-02,981,9
2026-01-08,Plant A,M-01,P-01,721,14
2026-01-08,Plant A,M-01,P-03,955,12
2026-01-08,Plant A,M-02,P-06,818,11
2026-01-08,Plant A,M-02,P-06,1025,25
2026-01-08,Plant A,M-02,P-03,678,13
2026-01-08,Plant A,M-03,P-05,689,50
2026-01-08,Plant A,M-03,P-01,911,8
2026-01-08,Plant A,M-03,P-01,730,13
2026-01-08,Plant A,M-04,P-02,812,14
2026-01-08,Plant A,M-04,P-05,741,33
2026-01-08,Plant A,M-04,P-06,726,16
2026-01-08,Plant A,M-05,P-06,940,15
2026-01-08,Plant A,M-05,P-05,1071,51
2026-01-08,Plant A,M-05,P-03,725,11
2026-01-08,Plant B,M-01,P-04,950,17
2026-01-08,Plant B,M-01,P-04,1033,20
2026-01-08,Plant B,M-01,P-01,664,11
2026-01-08,Plant B,M-02,P-06,1105,24
2026-01-08,Plant B,M-02,P-04,1012,18
2026-01-08,Plant B,M-02,P-06,947,15
2026-01-08,Plant B,M-03,P-05,717,57
2026-01-08,Plant B,M-03,P-04,769,14
2026-01-08,Plant B,M-03,P-06,568,17
2026-01-08,Plant B,M-04,P-02,960,16
2026-01-08,Plant B,M-04,P-04,626,15
2026-01-08,Plant B,M-04,P-03,690,20
2026-01-08,Plant B,M-05,P-05,707,57
2026-01-08,Plant B,M-05,P-05,685,45
2026-01-08,Plant B,M-05,P-04,894,18
2026-01-08,Plant C,M-01,P-02,914,19
2026-01-08,Plant C,M-01,P-02,836,24
2026-01-08,Plant C,M-01,P-01,816,13
2026-01-08,Plant C,M-02,P-06,1029,21
2026-01-08,Plant C,M-02,P-03,965,24
2026-01-08,Plant C,M-02,P-01,696,19
2026-01-08,Plant C,M-03,P-05,832,60
2026-01-08,Plant C,M-03,P-01,965,22
2026-01-08,Plant C,M-03,P-05,744,49
2026-01-08,Plant C,M-04,P-01,1005,18
2026-01-08,Plant C,M-04,P-04,949,11
2026-01-08,Plant C,M-04,P-06,727,17
2026-01-08,Plant C,M-05,P-01,1010,20
2026-01-08,Plant C,M-05,P-06,648,19
2026-01-08,Plant C,M-05,P-04,706,15
2026-01-09,Plant A,M-01,P-02,917,19
2026-01-09,Plant A,M-01,P-06,913,15
2026-01-09,Plant A,M-01,P-05,797,54
2026-01-09,Plant A,M-02,P-03,825,21
2026-01-09,Plant A,M-02,P-02,1072,13
2026-01-09,Plant A,M-02,P-03,772,8
2026-01-09,Plant A,M-03,P-04,1030,21
2026-01-09,Plant A,M-03,P-06,914,11
2026-01-09,Plant A,M-03,P-04,612,8
2026-01-09,Plant A,M-04,P-05,969,72
2026-01-09,Plant A,M-04,P-04,1075,9
2026-01-09,Plant A,M-04,P-01,659,17
2026-01-09,Plant A,M-05,P-06,891,21
2026-01-09,Plant A,M-05,P-03,1021,29
2026-01-09,Plant A,M-05,P-01,704,12
2026-01-09,Plant B,M-01,P-05,808,57
2026-01-09,Plant B,M-01,P-03,977,15
2026-01-09,Plant B,M-01,P-03,657,9
2026-01-09,Plant B,M-02,P-04,1160,33
2026-01-09,Plant B,M-02,P-02,890,14
2026-01-09,Plant B,M-02,P-05,745,43
2026-01-09,Plant B,M-03,P-06,859,8
2026-01-09,Plant B,M-03,P-05,682,56
2026-01-09,Plant B,M-03,P-06,791,18
2026-01-09,Plant B,M-04,P-06,605,20
2026-01-09,Plant B,M-04,P-03,657,15
2026-01-09,Plant B,M-04,P-01,735,21
2026-01-09,Plant B,M-05,P-02,903,30
2026-01-09,Plant B,M-05,P-02,634,7
2026-01-09,Plant B,M-05,P-06,655,19
2026-01-09,Plant C,M-01,P-04,1088,16
2026-01-09,Plant C,M-01,P-05,1014,51
2026-01-09,Plant C,M-01,P-02,725,6
2026-01-09,Plant C,M-02,P-03,998,18
2026-01-09,Plant C,M-02,P-02,881,11
2026-01-09,Plant C,M-02,P-05,929,62
2026-01-09,Plant C,M-03,P-04,970,31
2026-01-09,Plant C,M-03,P-04,921,12
2026-01-09,Plant C,M-03,P-03,669,7
2026-01-09,Plant C,M-04,P-05,830,64
2026-01-09,Plant C,M-04,P-01,872,24
2026-01-09,Plant C,M-04,P-06,634,5
2026-01-09,Plant C,M-05,P-04,725,11
2026-01-09,Plant C,M-05,P-01,731,12
2026-01-09,Plant C,M-05,P-04,626,12
2026-01-10,Plant A,M-01,P-03,812,20
2026-01-10,Plant A,M-01,P-01,908,19
2026-01-10,Plant A,M-01,P-04,567,16
2026-01-10,Plant A,M-02,P-02,810,27
2026-01-10,Plant A,M-02,P-01,699,11
2026-01-10,Plant A,M-02,P-04,629,21
2026-01-10,Plant A,M-03,P-04,852,19
2026-01-10,Plant A,M-03,P-05,872,44
2026-01-10,Plant A,M-03,P-02,881,21
2026-01-10,Plant A,M-04,P-03,920,17
2026-01-10,Plant A,M-04,P-04,977,18
2026-01-10,Plant A,M-04,P-03,621,8
2026-01-10,Plant A,M-05,P-01,810,23
2026-01-10,Plant A,M-05,P-05,847,44
2026-01-10,Plant A,M-05,P-05,954,65
2026-01-10,Plant B,M-01,P-01,979,15
2026-01-10,Plant B,M-01,P-06,811,26
2026-01-10,Plant B,M-01,P-01,962,8
2026-01-10,Plant B,M-02,P-03,928,15
2026-01-10,Plant B,M-02,P-04,826,20
2026-01-10,Plant B,M-02,P-05,841,56
2026-01-10,Plant B,M-03,P-02,1051,11
2026-01-10,Plant B,M-03,P-06,887,17
2026-01-10,Plant B,M-03,P-05,971,69
2026-01-10,Plant B,M-04,P-05,677,55
2026-01-10,Plant B,M-04,P-01,916,22
2026-01-10,Plant B,M-04,P-02,397,11
2026-01-10,Plant B,M-05,P-05,894,73
2026-01-10,Plant B,M-05,P-01,948,29
2026-01-10,Plant B,M-05,P-03,919,20
2026-01-10,Plant C,M-01,P-04,687,16
2026-01-10,Plant C,M-01,P-06,936,24
2026-01-10,Plant C,M-01,P-06,914,30
2026-01-10,Plant C,M-02,P-03,756,16
2026-01-10,Plant C,M-02,P-02,660,21
2026-01-10,Plant C,M-02,P-04,702,21
2026-01-10,Plant C,M-03,P-01,725,22
2026-01-10,Plant C,M-03,P-01,999,18
2026-01-10,Plant C,M-03,P-05,913,67
2026-01-10,Plant C,M-04,P-06,965,22
2026-01-10,Plant C,M-04,P-02,679,10
2026-01-10,Plant C,M-04,P-06,965,21
2026-01-10,Plant C,M-05,P-02,1157,36
2026-01-10,Plant C,M-05,P-05,682,44
2026-01-10,Plant C,M-05,P-02,818,23
2026-01-11,Plant A,M-01,P-03,687,10
2026-01-11,Plant A,M-01,P-04,716,22
2026-01-11,Plant A,M-01,P-04,1034,32
2026-01-11,Plant A,M-02,P-05,1119,62
2026-01-11,Plant A,M-02,P-06,656,14
2026-01-11,Plant A,M-02,P-04,973,13
2026-01-11,Plant A,M-03,P-03,1161,38
2026-01-11,Plant A,M-03,P-02,713,7
2026-01-11,Plant A,M-03,P-01,946,26
2026-01-11,Plant A,M-04,P-03,877,11
2026-01-11,Plant A,M-04,P-05,1057,83
2026-01-11,Plant A,M-04,P-06,1020,15
2026-01-11,Plant A,M-05,P-03,1054,29
2026-01-11,Plant A,M-05,P-02,695,23
2026-01-11,Plant A,M-05,P-06,823,12
2026-01-11,Plant B,M-01,P-02,843,8
2026-01-11,Plant B,M-01,P-04,865,17
2026-01-11,Plant B,M-01,P-06,673,16
2026-01-11,Plant B,M-02,P-06,847,25
2026-01-11,Plant B,M-02,P-03,774,27
2026-01-11,Plant B,M-02,P-03,551,17
2026-01-11,Plant B,M-03,P-06,1109,9
2026-01-11,Plant B,M-03,P-02,1074,35
2026-01-11,Plant B,M-03,P-05,768,57
2026-01-11,Plant B,M-04,P-02,663,11
2026-01-11,Plant B,M-04,P-03,740,21
2026-01-11,Plant B,M-04,P-01,557,18
2026-01-11,Plant B,M-05,P-05,1024,48
2026-01-11,Plant B,M-05,P-01,651,8
2026-01-11,Plant B,M-05,P-01,1018,26
2026-01-11,Plant C,M-01,P-04,819,26
2026-01-11,Plant C,M-01,P-04,1049,20
2026-01-11,Plant C,M-01,P-04,722,23
2026-01-11,Plant C,M-02,P-05,981,52
2026-01-11,Plant C,M-02,P-01,857,29
2026-01-11,Plant C,M-02,P-02,901,8
2026-01-11,Plant C,M-03,P-02,904,15
2026-01-11,Plant C,M-03,P-06,742,13
2026-01-11,Plant C,M-03,P-04,736,8
2026-01-11,Plant C,M-04,P-06,1125,35
2026-01-11,Plant C,M-04,P-02,912,21
2026-01-11,Plant C,M-04,P-01,975,33
2026-01-11,Plant C,M-05,P-04,936,24
2026-01-11,Plant C,M-05,P-01,901,17
2026-01-11,Plant C,M-05,P-05,932,74
2026-01-12,Plant A,M-01,P-04,698,8
2026-01-12,Plant A,M-01,P-04,748,18
2026-01-12,Plant A,M-01,P-06,727,13
2026-01-12,Plant A,M-02,P-01,954,14
2026-01-12,Plant A,M-02,P-04,1035,30
2026-01-12,Plant A,M-02,P-05,913,49
2026-01-12,Plant A,M-03,P-06,1044,24
2026-01-12,Plant A,M-03,P-04,924,26
2026-01-12,Plant A,M-03,P-06,901,8
2026-01-12,Plant A,M-04,P-03,771,11
2026-01-12,Plant A,M-04,P-01,758,15
2026-01-12,Plant A,M-04,P-04,826,20
2026-01-12,Plant A,M-05,P-03,795,11
2026-01-12,Plant A,M-05,P-05,1021,57
2026-01-12,Plant A,M-05,P-01,693,17
2026-01-12,Plant B,M-01,P-06,904,25
2026-01-12,Plant B,M-01,P-03,832,22
2026-01-12,Plant B,M-01,P-06,690,7
2026-01-12,Plant B,M-02,P-01,1024,33
2026-01-12,Plant B,M-02,P-01,1046,8
2026-01-12,Plant B,M-02,P-01,761,24
2026-01-12,Plant B,M-03,P-02,1038,28
2026-01-12,Plant B,M-03,P-02,934,18
2026-01-12,Plant B,M-03,P-03,888,19
2026-01-12,Plant B,M-04,P-02,828,19
2026-01-12,Plant B,M-04,P-06,705,22
2026-01-12,Plant B,M-04,P-03,511,15
2026-01-12,Plant B,M-05,P-05,1092,76
2026-01-12,Plant B,M-05,P-04,927,13
2026-01-12,Plant B,M-05,P-06,624,5
2026-01-12,Plant C,M-01,P-06,658,15
2026-01-12,Plant C,M-01,P-05,907,52
2026-01-12,Plant C,M-01,P-01,709,16
2026-01-12,Plant C,M-02,P-05,749,34
2026-01-12,Plant C,M-02,P-02,943,15
2026-01-12,Plant C,M-02,P-03,964,27
2026-01-12,Plant C,M-03,P-03,997,18
2026-01-12,Plant C,M-03,P-05,1034,68
2026-01-12,Plant C,M-03,P-05,935,43
2026-01-12,Plant C,M-04,P-04,1131,17
2026-01-12,Plant C,M-04,P-02,966,15
2026-01-12,Plant C,M-04,P-06,826,26
2026-01-12,Plant C,M-05,P-06,1027,18
2026-01-12,Plant C,M-05,P-02,834,13
2026-01-12,Plant C,M-05,P-03,735,12
2026-01-13,Plant A,M-01,P-03,985,28
2026-01-13,Plant A,M-01,P-03,616,16
2026-01-13,Plant A,M-01,P-01,900,26
2026-01-13,Plant A,M-02,P-01,712,12
2026-01-13,Plant A,M-02,P-01,1015,31
2026-01-13,Plant A,M-02,P-01,1017,19
2026-01-13,Plant A,M-03,P-03,954,27
2026-01-13,Plant A,M-03,P-02,730,16
2026-01-13,Plant A,M-03,P-03,702,13
2026-01-13,Plant A,M-04,P-01,731,7
2026-01-13,Plant A,M-04,P-04,952,26
2026-01-13,Plant A,M-04,P-04,917,24
2026-01-13,Plant A,M-05,P-05,830,46
2026-01-13,Plant A,M-05,P-06,891,21
2026-01-13,Plant A,M-05,P-02,705,7
2026-01-13,Plant B,M-01,P-06,662,17
2026-01-13,Plant B,M-01,P-02,730,25
2026-01-13,Plant B,M-01,P-01,672,19
2026-01-13,Plant B,M-02,P-01,1052,21
2026-01-13,Plant B,M-02,P-01,954,18
2026-01-13,Plant B,M-02,P-03,927,29
2026-01-13,Plant B,M-03,P-01,763,18
2026-01-13,Plant B,M-03,P-03,1056,21
2026-01-13,Plant B,M-03,P-01,852,21
2026-01-13,Plant B,M-04,P-01,817,13
2026-01-13,Plant B,M-04,P-01,545,13
2026-01-13,Plant B,M-04,P-04,663,21
2026-01-13,Plant B,M-05,P-05,1061,83
2026-01-13,Plant B,M-05,P-02,778,25
2026-01-13,Plant B,M-05,P-01,946,14
2026-01-13,Plant C,M-01,P-03,842,9
2026-01-13,Plant C,M-01,P-04,945,15
2026-01-13,Plant C,M-01,P-03,802,9
2026-01-13,Plant C,M-02,P-05,908,43
2026-01-13,Plant C,M-02,P-06,1070,12
2026-01-13,Plant C,M-02,P-06,915,29
