Date,Plant,Machine,Downtime_Hours,Downtime_Reason
2026-01-03,Plant A,M-01,1.8442174029015024,Material Shortage
2026-01-03,Plant A,M-02,0.3836565148780186,Maintenance
2026-01-03,Plant A,M-02,0.5697283771545727,Operator Issue
2026-01-03,Plant A,M-02,1.7728442976171594,Changeover
2026-01-03,Plant A,M-03,1.8751142496587014,Operator Issue
2026-01-03,Plant A,M-03,1.9575451274202331,Electrical Failure
2026-01-03,Plant A,M-03,0.8657105256897781,Maintenance
2026-01-03,Plant A,M-04,3.3845888051994915,Maintenance
2026-01-03,Plant A,M-04,2.645698142657195,Mechanical Failure
2026-01-03,Plant A,M-04,0.8151364564008756,Operator Issue
2026-01-03,Plant A,M-05,1.4950688544946966,Maintenance
2026-01-03,Plant A,M-05,1.3726960910007062,Electrical Failure
2026-01-03,Plant A,M-05,0.5857635343376014,Material Shortage
2026-01-03,Plant B,M-01,2.0913978025493827,Mechanical Failure
2026-01-03,Plant B,M-01,0.8749971574592288,Operator Issue
2026-01-03,Plant B,M-01,0.620712585695542,Changeover
2026-01-03,Plant B,M-02,2.747210535974209,Electrical Failure
2026-01-03,Plant B,M-02,3.1978868524009734,Electrical Failure
2026-01-03,Plant B,M-02,1.8694326403187376,Material Shortage
2026-01-03,Plant B,M-03,1.4356367200773925,Maintenance
2026-01-03,Plant B,M-03,1.6877699256336358,Changeover
2026-01-03,Plant B,M-03,2.799706632757825,Maintenance
2026-01-03,Plant B,M-04,5.385383977463845,Mechanical Failure
2026-01-03,Plant B,M-04,5.675701798018192,Mechanical Failure
2026-01-03,Plant B,M-04,6.654149488066842,Operator Issue
2026-01-03,Plant B,M-05,1.6084033876112729,Operator Issue
2026-01-03,Plant B,M-05,2.9606638838646986,Electrical Failure
2026-01-03,Plant B,M-05,2.046813093317119,Mechanical Failure
2026-01-03,Plant C,M-01,1.098596120576988,Material Shortage
2026-01-03,Plant C,M-01,0.9325081343787331,Maintenance
2026-01-03,Plant C,M-01,2.079163608619551,Maintenance
2026-01-03,Plant C,M-02,1.5107056477409009,Changeover
2026-01-03,Plant C,M-02,2.28969455720617,Electrical Failure
2026-01-03,Plant C,M-02,1.0560973303232652,Material Shortage
2026-01-03,Plant C,M-03,1.639217546146545,Mechanical Failure
2026-01-03,Plant C,M-03,2.5061913154309847,Mechanical Failure
2026-01-03,Plant C,M-03,1.9347776015988631,Mechanical Failure
2026-01-03,Plant C,M-04,0.5517098094246253,Maintenance
2026-01-03,Plant C,M-04,2.2892236090795772,Changeover
2026-01-03,Plant C,M-04,2.6355109342070224,Material Shortage
2026-01-03,Plant C,M-05,1.6427382079789035,Operator Issue
2026-01-03,Plant C,M-05,2.617487920793826,Material Shortage
2026-01-03,Plant C,M-05,1.8380086157640798,Changeover
2026-01-04,Plant A,M-01,2.526254313973545,Mechanical Failure
2026-01-04,Plant A,M-01,2.492498353819608,Material Shortage
2026-01-04,Plant A,M-01,2.478848767070614,Material Shortage
2026-01-04,Plant A,M-02,2.3739851101453673,Mechanical Failure
2026-01-04,Plant A,M-02,2.4107276330151293,Mechanical Failure
2026-01-04,Plant A,M-02,0.3120217293331362,Electrical Failure
2026-01-04,Plant A,M-03,2.9870130151657324,Electrical Failure
2026-01-04,Plant A,M-03,0.59787072306502,Material Shortage
2026-01-04,Plant A,M-03,2.383462077765787,Mechanical Failure
2026-01-04,Plant A,M-04,0.28052257913657547,Maintenance
2026-01-04,Plant A,M-04,0.4921932550249399,Material Shortage
2026-01-04,Plant A,M-04,0.5026078058677195,Mechanical Failure
2026-01-04,Plant A,M-05,2.561325940272998,Mechanical Failure
2026-01-04,Plant A,M-05,2.4428360328871306,Operator Issue
2026-01-04,Plant A,M-05,2.65306431554896,Material Shortage
2026-01-04,Plant B,M-01,0.9612103786686037,Maintenance
2026-01-04,Plant B,M-01,0.9138692760206266,Material Shortage
2026-01-04,Plant B,M-01,2.7021869698235013,Operator Issue
2026-01-04,Plant B,M-02,3.1532407560518716,Maintenance
2026-01-04,Plant B,M-02,3.1328686635676246,Mechanical Failure
2026-01-04,Plant B,M-02,1.0571874864090764,Electrical Failure
2026-01-04,Plant B,M-03,0.45123183631799063,Changeover
2026-01-04,Plant B,M-03,2.0669154811861103,Operator Issue
2026-01-04,Plant B,M-03,0.7192241770183356,Changeover
2026-01-04,Plant B,M-04,4.634420421172295,Changeover
2026-01-04,Plant B,M-04,5.340475417036568,Changeover
2026-01-04,Plant B,M-04,5.305734306013171,Mechanical Failure
2026-01-04,Plant B,M-05,0.6238807697075315,Electrical Failure
2026-01-04,Plant B,M-05,0.5382821023692415,Material Shortage
2026-01-04,Plant B,M-05,0.4222569848469466,Maintenance
2026-01-04,Plant C,M-01,2.6738510447516517,Changeover
2026-01-04,Plant C,M-01,1.427050646487791,Material Shortage
2026-01-04,Plant C,M-01,1.1846356222669756,Operator Issue
2026-01-04,Plant C,M-02,3.378680956352435,Changeover
2026-01-04,Plant C,M-02,1.2294415686339304,Operator Issue
2026-01-04,Plant C,M-02,2.5592493326674175,Material Shortage
2026-01-04,Plant C,M-03,2.7440420873253717,Material Shortage
2026-01-04,Plant C,M-03,3.2090589153677067,Operator Issue
2026-01-04,Plant C,M-03,1.6200094531682268,Mechanical Failure
2026-01-04,Plant C,M-04,2.147870998322554,Electrical Failure
2026-01-04,Plant C,M-04,2.698295583117037,Mechanical Failure
2026-01-04,Plant C,M-04,0.5392149348257967,Material Shortage
2026-01-04,Plant C,M-05,1.9084484231695475,Changeover
2026-01-04,Plant C,M-05,1.2629125173238065,Electrical Failure
2026-01-04,Plant C,M-05,2.531369897406774,Operator Issue
2026-01-05,Plant A,M-01,3.286165990488217,Maintenance
2026-01-05,Plant A,M-01,2.897082640876229,Maintenance
2026-01-05,Plant A,M-01,1.0154406722334832,Operator Issue
2026-01-05,Plant A,M-02,0.34408347043429194,Operator Issue
2026-01-05,Plant A,M-02,2.3460747649448916,Mechanical Failure
2026-01-05,Plant A,M-02,1.5724943082849046,Changeover
2026-01-05,Plant A,M-03,0.33236033166119217,Changeover
2026-01-05,Plant A,M-03,1.5916790586824028,Maintenance
2026-01-05,Plant A,M-03,1.73718226316682,Material Shortage
2026-01-05,Plant A,M-04,3.4056038103374107,Changeover
2026-01-05,Plant A,M-04,1.5365686369650609,Operator Issue
2026-01-05,Plant A,M-04,3.031354637944929,Mechanical Failure
2026-01-05,Plant A,M-05,1.6975054865660093,Operator Issue
2026-01-05,Plant A,M-05,1.0333416808488836,Material Shortage
2026-01-05,Plant A,M-05,1.7662818899743857,Operator Issue
2026-01-05,Plant B,M-01,0.388386625094739,Material Shortage
2026-01-05,Plant B,M-01,0.7940344436599875,Material Shortage
2026-01-05,Plant B,M-01,0.2573533076120828,Changeover
2026-01-05,Plant B,M-02,1.3307565107990205,Changeover
2026-01-05,Plant B,M-02,3.379044548307317,Mechanical Failure
2026-01-05,Plant B,M-02,1.84067672122781,Material Shortage
2026-01-05,Plant B,M-03,2.182011490402579,Operator Issue
2026-01-05,Plant B,M-03,2.370889505190019,Mechanical Failure
2026-01-05,Plant B,M-03,2.346688437712662,Material Shortage
2026-01-05,Plant B,M-04,7.191254595434538,Electrical Failure
2026-01-05,Plant B,M-04,6.253755709393835,Electrical Failure
2026-01-05,Plant B,M-04,4.058668228185056,Material Shortage
2026-01-05,Plant B,M-05,0.28461881716123777,Material Shortage
2026-01-05,Plant B,M-05,2.206086806218367,Maintenance
2026-01-05,Plant B,M-05,2.33666655671019,Mechanical Failure
2026-01-05,Plant C,M-01,1.7813046571638795,Changeover
2026-01-05,Plant C,M-01,2.1170757757672325,Operator Issue
2026-01-05,Plant C,M-01,0.6022241080119269,Changeover
2026-01-05,Plant C,M-02,0.8112538736064518,Material Shortage
2026-01-05,Plant C,M-02,0.3432613584209032,Operator Issue
2026-01-05,Plant C,M-02,2.3337995142954386,Mechanical Failure
2026-01-05,Plant C,M-03,1.0436284927705985,Electrical Failure
2026-01-05,Plant C,M-03,2.1358079284790645,Maintenance
2026-01-05,Plant C,M-03,0.2780073339529101,Electrical Failure
2026-01-05,Plant C,M-04,0.667855498639436,Changeover
2026-01-05,Plant C,M-04,2.5909056096154397,Material Shortage
2026-01-05,Plant C,M-04,0.48267222366822077,Maintenance
2026-01-05,Plant C,M-05,2.2366140852056344,Material Shortage
2026-01-05,Plant C,M-05,2.3478953178557407,Changeover
2026-01-05,Plant C,M-05,1.4489721975033678,Material Shortage
2026-01-06,Plant A,M-01,2.2953681504504093,Electrical Failure
2026-01-06,Plant A,M-01,1.1928152575657418,Material Shortage
2026-01-06,Plant A,M-01,2.736379355802078,Operator Issue
2026-01-06,Plant A,M-02,3.053464433710683,Changeover
2026-01-06,Plant A,M-02,1.388450144656013,Maintenance
2026-01-06,Plant A,M-02,1.1230216769558814,Material Shortage
2026-01-06,Plant A,M-03,1.9811176419078111,Operator Issue
2026-01-06,Plant A,M-03,2.8071004398133024,Electrical Failure
2026-01-06,Plant A,M-03,2.0910367154718026,Electrical Failure
2026-01-06,Plant A,M-04,1.8073043321024884,Maintenance
2026-01-06,Plant A,M-04,0.6018143067134067,Material Shortage
2026-01-06,Plant A,M-04,3.387213131805626,Electrical Failure
2026-01-06,Plant A,M-05,2.2446402511628376,Maintenance
2026-01-06,Plant A,M-05,0.8987926571960785,Mechanical Failure
2026-01-06,Plant A,M-05,2.7828969344556924,Material Shortage
2026-01-06,Plant B,M-01,2.2302241461623358,Electrical Failure
2026-01-06,Plant B,M-01,0.8422542890085247,Material Shortage
2026-01-06,Plant B,M-01,3.3806135090917584,Operator Issue
2026-01-06,Plant B,M-02,1.9665234337935522,Changeover
2026-01-06,Plant B,M-02,0.4132350434854843,Maintenance
2026-01-06,Plant B,M-02,0.6197592168685837,Material Shortage
2026-01-06,Plant B,M-03,3.036565264434921,Mechanical Failure
2026-01-06,Plant B,M-03,2.9748762121055448,Material Shortage
2026-01-06,Plant B,M-03,3.1538885443315703,Changeover
2026-01-06,Plant B,M-04,6.720911116833413,Mechanical Failure
2026-01-06,Plant B,M-04,4.142283468142193,Operator Issue
2026-01-06,Plant B,M-04,5.419365441027562,Electrical Failure
2026-01-06,Plant B,M-05,0.47263828941558667,Mechanical Failure
2026-01-06,Plant B,M-05,1.0428644994612244,Mechanical Failure
2026-01-06,Plant B,M-05,3.3960129660614666,Material Shortage
2026-01-06,Plant C,M-01,2.1751541997584067,Maintenance
2026-01-06,Plant C,M-01,1.1035113147965514,Mechanical Failure
2026-01-06,Plant C,M-01,3.101586577992866,Electrical Failure
2026-01-06,Plant C,M-02,2.669033289730692,Mechanical Failure
2026-01-06,Plant C,M-02,0.6347049524000543,Maintenance
2026-01-06,Plant C,M-02,1.9893827781230993,Maintenance
2026-01-06,Plant C,M-03,3.094556856987633,Electrical Failure
2026-01-06,Plant C,M-03,3.1087875729275707,Electrical Failure
2026-01-06,Plant C,M-03,2.2294281931257367,Changeover
2026-01-06,Plant C,M-04,2.9718811349312024,Maintenance
2026-01-06,Plant C,M-04,0.6115563878075886,Material Shortage
2026-01-06,Plant C,M-04,1.4920348039868367,Mechanical Failure
2026-01-06,Plant C,M-05,2.3196742354872506,Electrical Failure
2026-01-06,Plant C,M-05,2.4323441928469953,Mechanical Failure
2026-01-06,Plant C,M-05,2.790160024467843,Material Shortage
2026-01-07,Plant A,M-01,1.283036086910728,Maintenance
2026-01-07,Plant A,M-01,2.320465158466132,Material Shortage
2026-01-07,Plant A,M-01,2.971347542597537,Mechanical Failure
2026-01-07,Plant A,M-02,0.2798328208414723,Changeover
2026-01-07,Plant A,M-02,0.385249141273493,Changeover
2026-01-07,Plant A,M-02,0.6404839089726144,Electrical Failure
2026-01-07,Plant A,M-03,0.38902482855615705,Material Shortage
2026-01-07,Plant A,M-03,0.3882805797991392,Material Shortage
2026-01-07,Plant A,M-03,3.4169543541776695,Operator Issue
2026-01-07,Plant A,M-04,2.245008152658072,Changeover
2026-01-07,Plant A,M-04,0.9813882207275717,Changeover
2026-01-07,Plant A,M-04,1.8317877332738066,Changeover
2026-01-07,Plant A,M-05,1.2187058531315442,Operator Issue
2026-01-07,Plant A,M-05,3.0384609880531355,Mechanical Failure
2026-01-07,Plant A,M-05,2.9948318026922474,Mechanical Failure
2026-01-07,Plant B,M-01,2.6726362518960625,Operator Issue
2026-01-07,Plant B,M-01,1.8409445700384708,Material Shortage
2026-01-07,Plant B,M-01,3.1026201213400464,Maintenance
2026-01-07,Plant B,M-02,2.0413364379827117,Material Shortage
2026-01-07,Plant B,M-02,2.3673743455901706,Electrical Failure
2026-01-07,Plant B,M-02,1.926987782942646,Changeover
2026-01-07,Plant B,M-03,1.9166287267301296,Operator Issue
2026-01-07,Plant B,M-03,3.1902727407270293,Changeover
2026-01-07,Plant B,M-03,2.835357798863079,Maintenance
2026-01-07,Plant B,M-04,7.868506461036682,Changeover
2026-01-07,Plant B,M-04,6.23902273455353,Maintenance
2026-01-07,Plant B,M-04,4.749647776390329,Maintenance
2026-01-07,Plant B,M-05,1.2364006234760154,Operator Issue
2026-01-07,Plant B,M-05,0.5727125877568727,Electrical Failure
2026-01-07,Plant B,M-05,2.348787030109525,Operator Issue
2026-01-07,Plant C,M-01,1.0381170860876816,Maintenance
2026-01-07,Plant C,M-01,2.362431951982472,Maintenance
2026-01-07,Plant C,M-01,0.9017264420246172,Operator Issue
2026-01-07,Plant C,M-02,0.3950098372582358,Maintenance
2026-01-07,Plant C,M-02,1.4862059785074238,Operator Issue
2026-01-07,Plant C,M-02,0.25940029351920946,Operator Issue
2026-01-07,Plant C,M-03,3.4101618655438832,Changeover
2026-01-07,Plant C,M-03,2.9370023940341947,Material Shortage
2026-01-07,Plant C,M-03,0.5185637516449546,Mechanical Failure
2026-01-07,Plant C,M-04,2.6098122853974814,Maintenance
2026-01-07,Plant C,M-04,2.1576311813543683,Operator Issue
2026-01-07,Plant C,M-04,2.0920528405962195,Material Shortage
2026-01-07,Plant C,M-05,3.201768504140755,Material Shortage
2026-01-07,Plant C,M-05,3.1453268568509922,Changeover
2026-01-07,Plant C,M-05,0.9835304456368608,Changeover
2026-01-08,Plant A,M-01,2.6538599233826474,Operator Issue
2026-01-08,Plant A,M-01,1.7592280715214947,Mechanical Failure
2026-01-08,Plant A,M-01,1.7501544178692563,Material Shortage
2026-01-08,Plant A,M-02,0.2252913077424436,Mechanical Failure
2026-01-08,Plant A,M-02,1.1168128401797235,Mechanical Failure
2026-01-08,Plant A,M-02,1.8744593977687691,Maintenance
2026-01-08,Plant A,M-03,1.4865787647070954,Changeover
2026-01-08,Plant A,M-03,2.5708164584018265,Operator Issue
2026-01-08,Plant A,M-03,3.076272500051161,Material Shortage
2026-01-08,Plant A,M-04,2.1678610122392152,Maintenance
2026-01-08,Plant A,M-04,2.3332852974112033,Changeover
2026-01-08,Plant A,M-04,2.2214924455379035,Electrical Failure
2026-01-08,Plant A,M-05,2.9060416760938748,Material Shortage
2026-01-08,Plant A,M-05,0.6059108739083605,Mechanical Failure
2026-01-08,Plant A,M-05,1.5328629517614083,Mechanical Failure
2026-01-08,Plant B,M-01,2.8346551237105633,Electrical Failure
2026-01-08,Plant B,M-01,1.9351815762819682,Material Shortage
2026-01-08,Plant B,M-01,3.3239266321787024,Maintenance
2026-01-08,Plant B,M-02,1.2270177337091988,Changeover
2026-01-08,Plant B,M-02,0.5473553111501408,Changeover
2026-01-08,Plant B,M-02,1.480356307824669,Electrical Failure
2026-01-08,Plant B,M-03,0.6291576822867577,Maintenance
2026-01-08,Plant B,M-03,3.447243438594532,Operator Issue
2026-01-08,Plant B,M-03,3.434359674965431,Changeover
2026-01-08,Plant B,M-04,5.037339589268377,Mechanical Failure
2026-01-08,Plant B,M-04,6.230835305000175,Mechanical Failure
2026-01-08,Plant B,M-04,6.938311692485653,Mechanical Failure
2026-01-08,Plant B,M-05,0.3302164585399677,Maintenance
2026-01-08,Plant B,M-05,3.0708982268373606,Maintenance
2026-01-08,Plant B,M-05,3.0943989173600235,Material Shortage
2026-01-08,Plant C,M-01,1.1430857332353717,Maintenance
2026-01-08,Plant C,M-01,3.1516934375199663,Material Shortage
2026-01-08,Plant C,M-01,3.018074490952893,Mechanical Failure
2026-01-08,Plant C,M-02,1.679452882719093,Electrical Failure
2026-01-08,Plant C,M-02,2.4853570240724565,Operator Issue
2026-01-08,Plant C,M-02,2.6190689265379783,Changeover
2026-01-08,Plant C,M-03,2.373183701711181,Material Shortage
2026-01-08,Plant C,M-03,0.4562428044162967,Maintenance
2026-01-08,Plant C,M-03,2.5025957110423174,Maintenance
2026-01-08,Plant C,M-04,2.9788456434153114,Electrical Failure
2026-01-08,Plant C,M-04,1.1273148463987548,Operator Issue
2026-01-08,Plant C,M-04,2.1247497251051812,Changeover
2026-01-08,Plant C,M-05,0.605638238935779,Operator Issue
2026-01-08,Plant C,M-05,2.3023997623669863,Changeover
2026-01-08,Plant C,M-05,3.2254125793177058,Material Shortage
2026-01-09,Plant A,M-01,2.2775403997427306,Mechanical Failure
2026-01-09,Plant A,M-01,3.1558981955563703,Mechanical Failure
2026-01-09,Plant A,M-01,0.5362448806178446,Material Shortage
2026-01-09,Plant A,M-02,1.5938689232082093,Material Shortage
2026-01-09,Plant A,M-02,1.4792410580036353,Changeover
2026-01-09,Plant A,M-02,2.4311571636675566,Mechanical Failure
2026-01-09,Plant A,M-03,0.3590138408978776,Mechanical Failure
2026-01-09,Plant A,M-03,1.4203837447576828,Mechanical Failure
2026-01-09,Plant A,M-03,2.5748575948147505,Operator Issue
2026-01-09,Plant A,M-04,1.1744948759870482,Material Shortage
2026-01-09,Plant A,M-04,1.5039319951179606,Material Shortage
2026-01-09,Plant A,M-04,2.780650605278792,Changeover
2026-01-09,Plant A,M-05,2.9662756865008264,Material Shortage
2026-01-09,Plant A,M-05,3.3795474949290414,Operator Issue
2026-01-09,Plant A,M-05,0.6340102808240471,Operator Issue
2026-01-09,Plant B,M-01,2.751368183931616,Material Shortage
2026-01-09,Plant B,M-01,2.333313847405171,Mechanical Failure
2026-01-09,Plant B,M-01,3.1682022014021354,Changeover
2026-01-09,Plant B,M-02,0.39088668317563,Material Shortage
2026-01-09,Plant B,M-02,0.664649731345831,Electrical Failure
2026-01-09,Plant B,M-02,1.9399750970203464,Mechanical Failure
2026-01-09,Plant B,M-03,1.9780829298307427,Operator Issue
2026-01-09,Plant B,M-03,2.282041907756239,Changeover
2026-01-09,Plant B,M-03,3.2645789471491136,Operator Issue
2026-01-09,Plant B,M-04,4.662999119280624,Mechanical Failure
2026-01-09,Plant B,M-04,7.979277175863804,Operator Issue
2026-01-09,Plant B,M-04,6.374243741515144,Mechanical Failure
2026-01-09,Plant B,M-05,3.3684474945379757,Electrical Failure
2026-01-09,Plant B,M-05,2.7511938376016385,Mechanical Failure
2026-01-09,Plant B,M-05,1.8463556929686082,Electrical Failure
2026-01-09,Plant C,M-01,2.855685302565993,Maintenance
2026-01-09,Plant C,M-01,2.3860322386135246,Mechanical Failure
2026-01-09,Plant C,M-01,0.34820728668553236,Changeover
2026-01-09,Plant C,M-02,1.3784998256916592,Material Shortage
2026-01-09,Plant C,M-02,2.995996503482136,Mechanical Failure
2026-01-09,Plant C,M-02,3.3365152628984758,Maintenance
2026-01-09,Plant C,M-03,2.970876863839008,Electrical Failure
2026-01-09,Plant C,M-03,1.7719079198936258,Material Shortage
2026-01-09,Plant C,M-03,3.021599665345786,Maintenance
2026-01-09,Plant C,M-04,2.4889395896635245,Electrical Failure
2026-01-09,Plant C,M-04,1.1321590070210121,Changeover
2026-01-09,Plant C,M-04,1.20301029044159,Maintenance
2026-01-09,Plant C,M-05,2.6146916306619024,Electrical Failure
2026-01-09,Plant C,M-05,2.895372239468599,Operator Issue
2026-01-09,Plant C,M-05,0.9276118344740512,Maintenance
2026-01-10,Plant A,M-01,2.7760846675043385,Maintenance
2026-01-10,Plant A,M-01,3.3323884686726903,Mechanical Failure
2026-01-10,Plant A,M-01,3.278652046479918,Maintenance
2026-01-10,Plant A,M-02,3.006556328710764,Material Shortage
2026-01-10,Plant A,M-02,2.4144824367377176,Mechanical Failure
2026-01-10,Plant A,M-02,1.4778829948877164,Mechanical Failure
2026-01-10,Plant A,M-03,2.5260743331431597,Mechanical Failure
2026-01-10,Plant A,M-03,1.2191535992242246,Mechanical Failure
2026-01-10,Plant A,M-03,2.8941555903846012,Operator Issue
2026-01-10,Plant A,M-04,0.24011734587537648,Operator Issue
2026-01-10,Plant A,M-04,3.2854816250679257,Material Shortage
2026-01-10,Plant A,M-04,1.1430024711559297,Electrical Failure
2026-01-10,Plant A,M-05,2.7900440157643045,Operator Issue
2026-01-10,Plant A,M-05,3.4681938805946273,Electrical Failure
2026-01-10,Plant A,M-05,1.531883307793251,Electrical Failure
2026-01-10,Plant B,M-01,0.4443393191107484,Electrical Failure
2026-01-10,Plant B,M-01,2.192002761845938,Changeover
2026-01-10,Plant B,M-01,2.496131676262968,Changeover
2026-01-10,Plant B,M-02,1.6872653672984133,Operator Issue
2026-01-10,Plant B,M-02,3.058115590918582,Operator Issue
2026-01-10,Plant B,M-02,2.270705686888122,Mechanical Failure
2026-01-10,Plant B,M-03,2.5948955042015407,Operator Issue
2026-01-10,Plant B,M-03,0.5056640940695117,Mechanical Failure
2026-01-10,Plant B,M-03,2.5873777989050035,Mechanical Failure
2026-01-10,Plant B,M-04,6.615976369359204,Mechanical Failure
2026-01-10,Plant B,M-04,5.08322531214789,Maintenance
2026-01-10,Plant B,M-04,7.805962840707149,Changeover
2026-01-10,Plant B,M-05,1.5115789177670023,Mechanical Failure
2026-01-10,Plant B,M-05,1.0872165974612387,Operator Issue
2026-01-10,Plant B,M-05,1.5574202394471748,Material Shortage
2026-01-10,Plant C,M-01,2.9216526832451253,Maintenance
2026-01-10,Plant C,M-01,1.5451884313328639,Operator Issue
2026-01-10,Plant C,M-01,0.7295266270950471,Electrical Failure
2026-01-10,Plant C,M-02,2.927410697646016,Electrical Failure
