Date,Plant,Machine,Energy_kWh
2026-01-02,Plant A,M-02,574.6070401826513
2026-01-02,Plant A,M-02,491.66762760215687
2026-01-02,Plant A,M-03,611.5853510043037
2026-01-02,Plant A,M-03,873.04903553556
2026-01-02,Plant A,M-03,682.5438180894768
2026-01-02,Plant A,M-04,431.0249761156869
2026-01-02,Plant A,M-04,480.6482083695386
2026-01-02,Plant A,M-04,586.9913507483478
2026-01-02,Plant A,M-05,658.7356599997645
2026-01-02,Plant A,M-05,352.05218957963774
2026-01-02,Plant A,M-05,419.3334808568374
2026-01-02,Plant B,M-01,536.815507106198
2026-01-02,Plant B,M-01,488.841030379659
2026-01-02,Plant B,M-01,515.6135196066815
2026-01-02,Plant B,M-02,593.6630959825771
2026-01-02,Plant B,M-02,616.9387275725974
2026-01-02,Plant B,M-02,445.71992356339285
2026-01-02,Plant B,M-03,770.6353750453878
2026-01-02,Plant B,M-03,520.9862918162025
2026-01-02,Plant B,M-03,780.3025705429162
2026-01-02,Plant B,M-04,473.8379668873366
2026-01-02,Plant B,M-04,280.44575005503674
2026-01-02,Plant B,M-04,271.72719207291937
2026-01-02,Plant B,M-05,463.8976223186032
2026-01-02,Plant B,M-05,503.85553432623186
2026-01-02,Plant B,M-05,281.7600685480914
2026-01-02,Plant C,M-01,486.89286399312357
2026-01-02,Plant C,M-01,425.5902966525477
2026-01-02,Plant C,M-01,508.69253606668633
2026-01-02,Plant C,M-02,403.5887604972494
2026-01-02,Plant C,M-02,500.3578505931081
2026-01-02,Plant C,M-02,445.74449538939587
2026-01-02,Plant C,M-03,896.271731403886
2026-01-02,Plant C,M-03,884.318987209439
2026-01-02,Plant C,M-03,597.1681593613228
2026-01-02,Plant C,M-04,534.8892150534462
2026-01-02,Plant C,M-04,450.8422716355397
2026-01-02,Plant C,M-04,363.60261339966036
2026-01-02,Plant C,M-05,532.2175856248657
2026-01-02,Plant C,M-05,511.7525280313416
2026-01-02,Plant C,M-05,419.53556664022256
2026-01-03,Plant A,M-01,496.6438648197619
2026-01-03,Plant A,M-01,520.0750504574303
2026-01-03,Plant A,M-01,454.485354210604
2026-01-03,Plant A,M-02,423.5351748567541
2026-01-03,Plant A,M-02,684.837588058082
2026-01-03,Plant A,M-02,487.96958322224464
2026-01-03,Plant A,M-03,704.3436650422198
2026-01-03,Plant A,M-03,803.1603013215478
2026-01-03,Plant A,M-03,743.5629546886775
2026-01-03,Plant A,M-04,527.0913287447152
2026-01-03,Plant A,M-04,378.1426042340199
2026-01-03,Plant A,M-04,430.45702988037795
2026-01-03,Plant A,M-05,378.29431199562424
2026-01-03,Plant A,M-05,501.879065643363
2026-01-03,Plant A,M-05,361.62916724699267
2026-01-03,Plant B,M-01,456.72381475808436
2026-01-03,Plant B,M-01,457.4904306219192
2026-01-03,Plant B,M-01,524.2860935503585
2026-01-03,Plant B,M-02,541.9813234436183
2026-01-03,Plant B,M-02,430.19990115777836
2026-01-03,Plant B,M-02,310.4948878139913
2026-01-03,Plant B,M-03,730.8172978688042
2026-01-03,Plant B,M-03,801.3228264321388
2026-01-03,Plant B,M-03,802.3686228657051
2026-01-03,Plant B,M-04,412.1837503134775
2026-01-03,Plant B,M-04,396.02311316014345
2026-01-03,Plant B,M-04,440.4656006811428
2026-01-03,Plant B,M-05,435.90682691053087
2026-01-03,Plant B,M-05,489.7188199427576
2026-01-03,Plant B,M-05,358.59261869855976
2026-01-03,Plant C,M-01,638.9837208023624
2026-01-03,Plant C,M-01,566.1647469603837
2026-01-03,Plant C,M-01,489.2351369834415
2026-01-03,Plant C,M-02,567.3074094679386
2026-01-03,Plant C,M-02,394.4732420395635
2026-01-03,Plant C,M-02,340.48920940842333
2026-01-03,Plant C,M-03,921.9585429462514
2026-01-03,Plant C,M-03,589.0362074048893
2026-01-03,Plant C,M-03,575.5845743996946
2026-01-03,Plant C,M-04,521.0648649374276
2026-01-03,Plant C,M-04,512.8035590183815
2026-01-03,Plant C,M-04,402.4481488494703
2026-01-03,Plant C,M-05,578.0723592079494
2026-01-03,Plant C,M-05,515.6885670932209
2026-01-03,Plant C,M-05,476.6021575197889
2026-01-04,Plant A,M-01,524.8164963222882
2026-01-04,Plant A,M-01,450.9786695212822
2026-01-04,Plant A,M-01,555.8843587860007
2026-01-04,Plant A,M-02,427.3490407035455
2026-01-04,Plant A,M-02,575.9880051249576
2026-01-04,Plant A,M-02,610.2865043270032
2026-01-04,Plant A,M-03,865.3231297203804
2026-01-04,Plant A,M-03,679.065306589905
2026-01-04,Plant A,M-03,760.6686688392932
2026-01-04,Plant A,M-04,544.0840924177423
2026-01-04,Plant A,M-04,709.0747049202989
2026-01-04,Plant A,M-04,479.25047700590295
2026-01-04,Plant A,M-05,451.21679314151555
2026-01-04,Plant A,M-05,633.8985174022293
2026-01-04,Plant A,M-05,348.76802893018566
2026-01-04,Plant B,M-01,653.4748669832193
2026-01-04,Plant B,M-01,347.5865787380745
2026-01-04,Plant B,M-01,558.2036926819729
2026-01-04,Plant B,M-02,470.417207964088
2026-01-04,Plant B,M-02,287.4493714691035
2026-01-04,Plant B,M-02,423.3576759876322
2026-01-04,Plant B,M-03,774.6918988739168
2026-01-04,Plant B,M-03,591.510609048396
2026-01-04,Plant B,M-03,775.3683701936955
2026-01-04,Plant B,M-04,442.91761208132584
2026-01-04,Plant B,M-04,301.453152461369
2026-01-04,Plant B,M-04,224.55179702248086
2026-01-04,Plant B,M-05,513.6832213564695
2026-01-04,Plant B,M-05,368.3591390671202
2026-01-04,Plant B,M-05,443.2522973922886
2026-01-04,Plant C,M-01,389.488317517349
2026-01-04,Plant C,M-01,424.1177628197591
2026-01-04,Plant C,M-01,341.4834571271048
2026-01-04,Plant C,M-02,534.8140683884844
2026-01-04,Plant C,M-02,521.1929553717076
2026-01-04,Plant C,M-02,546.3827790258231
2026-01-04,Plant C,M-03,521.7118045077625
2026-01-04,Plant C,M-03,573.5082901474653
2026-01-04,Plant C,M-03,743.457385857838
2026-01-04,Plant C,M-04,479.94346030329075
2026-01-04,Plant C,M-04,480.0231213279264
2026-01-04,Plant C,M-04,557.4342988038037
2026-01-04,Plant C,M-05,640.1138245639208
2026-01-04,Plant C,M-05,623.7943339045024
2026-01-04,Plant C,M-05,485.5553320572068
2026-01-05,Plant A,M-01,585.6570078018093
2026-01-05,Plant A,M-01,486.66229536748267
2026-01-05,Plant A,M-01,307.90612812618934
2026-01-05,Plant A,M-02,461.98396378415407
2026-01-05,Plant A,M-02,336.9628737843773
2026-01-05,Plant A,M-02,386.86532141652737
2026-01-05,Plant A,M-03,957.8173417119262
2026-01-05,Plant A,M-03,902.7489909472766
2026-01-05,Plant A,M-03,631.662355126726
2026-01-05,Plant A,M-04,347.7192013128974
2026-01-05,Plant A,M-04,518.0663370640216
2026-01-05,Plant A,M-04,315.2276726791095
2026-01-05,Plant A,M-05,568.5007656960131
2026-01-05,Plant A,M-05,413.9153192880978
2026-01-05,Plant A,M-05,365.15277315888875
2026-01-05,Plant B,M-01,636.3786532974884
2026-01-05,Plant B,M-01,577.4148139358583
2026-01-05,Plant B,M-01,481.98464227395374
2026-01-05,Plant B,M-02,503.2720847583667
2026-01-05,Plant B,M-02,405.07708302930615
2026-01-05,Plant B,M-02,584.1288892913701
2026-01-05,Plant B,M-03,820.5590282664247
2026-01-05,Plant B,M-03,844.8675238860195
2026-01-05,Plant B,M-03,734.4021193584722
2026-01-05,Plant B,M-04,462.91053221606865
2026-01-05,Plant B,M-04,396.4284007886581
2026-01-05,Plant B,M-04,500.9500414973651
2026-01-05,Plant B,M-05,624.7403543855158
2026-01-05,Plant B,M-05,530.2951040878243
2026-01-05,Plant B,M-05,460.2630390640109
2026-01-05,Plant C,M-01,503.2746650974932
2026-01-05,Plant C,M-01,460.63114253394326
2026-01-05,Plant C,M-01,354.3027378594672
2026-01-05,Plant C,M-02,704.7118819781515
2026-01-05,Plant C,M-02,497.0505418827262
2026-01-05,Plant C,M-02,386.8228395532758
2026-01-05,Plant C,M-03,767.253598788414
2026-01-05,Plant C,M-03,895.6387701758703
2026-01-05,Plant C,M-03,679.2210676140625
2026-01-05,Plant C,M-04,558.4694989100739
2026-01-05,Plant C,M-04,474.60332467367544
2026-01-05,Plant C,M-04,343.8680288075108
2026-01-05,Plant C,M-05,619.3826450422014
2026-01-05,Plant C,M-05,415.3432916518054
2026-01-05,Plant C,M-05,450.5299499036412
2026-01-06,Plant A,M-01,535.7535937536239
2026-01-06,Plant A,M-01,338.687932304133
2026-01-06,Plant A,M-01,506.3257982260863
2026-01-06,Plant A,M-02,426.3724354428699
2026-01-06,Plant A,M-02,502.26981290880906
2026-01-06,Plant A,M-02,382.05253393113003
2026-01-06,Plant A,M-03,661.0365861406043
2026-01-06,Plant A,M-03,541.4276361355427
2026-01-06,Plant A,M-03,695.5280183216466
2026-01-06,Plant A,M-04,467.4305166471663
2026-01-06,Plant A,M-04,528.8787473675781
2026-01-06,Plant A,M-04,345.5013782232109
2026-01-06,Plant A,M-05,369.81755931520513
2026-01-06,Plant A,M-05,464.2835006898897
2026-01-06,Plant A,M-05,517.8208568320182
2026-01-06,Plant B,M-01,497.4654285371381
2026-01-06,Plant B,M-01,482.46516445459827
2026-01-06,Plant B,M-01,377.4903438195158
2026-01-06,Plant B,M-02,599.4700114114353
2026-01-06,Plant B,M-02,617.6336737148274
2026-01-06,Plant B,M-02,527.6622539848323
2026-01-06,Plant B,M-03,890.6793917202732
2026-01-06,Plant B,M-03,626.4929676721321
2026-01-06,Plant B,M-03,650.6249893730164
2026-01-06,Plant B,M-04,309.3016335550233
2026-01-06,Plant B,M-04,446.92415455424697
2026-01-06,Plant B,M-04,206.8291846606295
2026-01-06,Plant B,M-05,451.6058416175871
2026-01-06,Plant B,M-05,411.48471572087544
2026-01-06,Plant B,M-05,357.82275763727523
2026-01-06,Plant C,M-01,611.6397187223985
2026-01-06,Plant C,M-01,474.72175094557076
2026-01-06,Plant C,M-01,356.32733816362764
2026-01-06,Plant C,M-02,491.6564489548793
2026-01-06,Plant C,M-02,504.41219875796185
2026-01-06,Plant C,M-02,367.0323337730942
2026-01-06,Plant C,M-03,883.0957493527446
2026-01-06,Plant C,M-03,733.2712133079018
2026-01-06,Plant C,M-03,638.8690080944807
2026-01-06,Plant C,M-04,399.3428371421422
2026-01-06,Plant C,M-04,516.8450646206443
2026-01-06,Plant C,M-04,374.5085900057417
2026-01-06,Plant C,M-05,528.4040977502401
2026-01-06,Plant C,M-05,317.14776511893
2026-01-06,Plant C,M-05,323.8999593538411
2026-01-07,Plant A,M-01,635.2935431484281
2026-01-07,Plant A,M-01,364.7235205290772
2026-01-07,Plant A,M-01,419.8540729544049
2026-01-07,Plant A,M-02,560.8844251952708
2026-01-07,Plant A,M-02,495.6843017025389
2026-01-07,Plant A,M-02,558.7712888965109
2026-01-07,Plant A,M-03,943.5277559796198
2026-01-07,Plant A,M-03,849.1098059103763
2026-01-07,Plant A,M-03,561.3785331127872
2026-01-07,Plant A,M-04,396.50324478750525
2026-01-07,Plant A,M-04,413.662964456495
2026-01-07,Plant A,M-04,419.11431472846755
2026-01-07,Plant A,M-05,597.3884023100386
2026-01-07,Plant A,M-05,365.5283285676396
2026-01-07,Plant A,M-05,402.5046612524901
2026-01-07,Plant B,M-01,416.6810931744122
2026-01-07,Plant B,M-01,536.706979571863
2026-01-07,Plant B,M-01,350.148709393514
2026-01-07,Plant B,M-02,381.39637611515946
2026-01-07,Plant B,M-02,410.65761134906955
2026-01-07,Plant B,M-02,488.28348221510515
2026-01-07,Plant B,M-03,655.5567147824261
2026-01-07,Plant B,M-03,836.3882478204175
2026-01-07,Plant B,M-03,652.0348572068565
2026-01-07,Plant B,M-04,402.36053208451756
2026-01-07,Plant B,M-04,381.5567985645282
2026-01-07,Plant B,M-04,360.28262981870466
2026-01-07,Plant B,M-05,572.8821032973854
2026-01-07,Plant B,M-05,515.2269667751527
2026-01-07,Plant B,M-05,414.4201614641141
2026-01-07,Plant C,M-01,455.113593269464
2026-01-07,Plant C,M-01,449.2076628613856
2026-01-07,Plant C,M-01,390.78691935374286
2026-01-07,Plant C,M-02,615.6903713497499
2026-01-07,Plant C,M-02,479.502528816684
2026-01-07,Plant C,M-02,349.65115894387765
2026-01-07,Plant C,M-03,610.7494613043
2026-01-07,Plant C,M-03,650.2202014305308
2026-01-07,Plant C,M-03,599.014135056279
2026-01-07,Plant C,M-04,674.4321662926428
2026-01-07,Plant C,M-04,384.71627601461745
2026-01-07,Plant C,M-04,332.4386799585287
2026-01-07,Plant C,M-05,457.65344362762653
2026-01-07,Plant C,M-05,466.03833461823746
2026-01-07,Plant C,M-05,389.464724602791
2026-01-08,Plant A,M-01,491.3616281611704
2026-01-08,Plant A,M-01,392.65246810697255
2026-01-08,Plant A,M-01,528.415372033182
2026-01-08,Plant A,M-02,433.01596418332144
2026-01-08,Plant A,M-02,484.5868706627033
2026-01-08,Plant A,M-02,431.1302597705543
2026-01-08,Plant A,M-03,579.5770038762743
2026-01-08,Plant A,M-03,718.4520266586031
2026-01-08,Plant A,M-03,597.4578977306319
2026-01-08,Plant A,M-04,518.3362555669135
2026-01-08,Plant A,M-04,427.7194340778941
2026-01-08,Plant A,M-04,447.07337476560537
2026-01-08,Plant A,M-05,514.3680928339494
2026-01-08,Plant A,M-05,564.9294918502268
2026-01-08,Plant A,M-05,440.65284818851507
2026-01-08,Plant B,M-01,432.709858894805
2026-01-08,Plant B,M-01,494.30995016732237
2026-01-08,Plant B,M-01,308.323338838968
2026-01-08,Plant B,M-02,683.2708629455734
2026-01-08,Plant B,M-02,463.29279294516215
2026-01-08,Plant B,M-02,454.0035144973118
2026-01-08,Plant B,M-03,602.5965063653662
2026-01-08,Plant B,M-03,621.218798211404
2026-01-08,Plant B,M-03,463.5256030466185
2026-01-08,Plant B,M-04,483.8875568891104
2026-01-08,Plant B,M-04,342.91000854041494
2026-01-08,Plant B,M-04,374.1794806404491
2026-01-08,Plant B,M-05,420.26105349346506
2026-01-08,Plant B,M-05,316.1605241060768
2026-01-08,Plant B,M-05,556.7022970256007
2026-01-08,Plant C,M-01,501.2970977442161
2026-01-08,Plant C,M-01,455.8680217677305
2026-01-08,Plant C,M-01,406.4304058357558
2026-01-08,Plant C,M-02,604.5831963322094
2026-01-08,Plant C,M-02,592.4709763620524
2026-01-08,Plant C,M-02,333.08475999227676
2026-01-08,Plant C,M-03,637.0296353925605
2026-01-08,Plant C,M-03,815.2450028210286
2026-01-08,Plant C,M-03,591.4315296596524
2026-01-08,Plant C,M-04,511.60338930363656
2026-01-08,Plant C,M-04,477.56868877544895
2026-01-08,Plant C,M-04,379.17616783011
2026-01-08,Plant C,M-05,620.4292623118039
2026-01-08,Plant C,M-05,363.20412537606245
2026-01-08,Plant C,M-05,357.83950192136535
2026-01-09,Plant A,M-01,421.24264002396245
2026-01-09,Plant A,M-01,582.575897147425
2026-01-09,Plant A,M-01,503.25765155676316
2026-01-09,Plant A,M-02,390.39374242244793
2026-01-09,Plant A,M-02,542.0974091288932
2026-01-09,Plant A,M-02,468.11360450045805
2026-01-09,Plant A,M-03,789.6460275484054
2026-01-09,Plant A,M-03,761.1887098939782
2026-01-09,Plant A,M-03,521.2232517884621
2026-01-09,Plant A,M-04,497.2185792213373
2026-01-09,Plant A,M-04,627.1263320184482
2026-01-09,Plant A,M-04,328.43095485243646
2026-01-09,Plant A,M-05,402.71842492498035
2026-01-09,Plant A,M-05,552.3444372374493
2026-01-09,Plant A,M-05,342.3888780518924
2026-01-09,Plant B,M-01,455.81697921915907
2026-01-09,Plant B,M-01,480.11634701170203
2026-01-09,Plant B,M-01,359.25772695992055
2026-01-09,Plant B,M-02,569.5556406102214
2026-01-09,Plant B,M-02,449.6702438455772
2026-01-09,Plant B,M-02,471.95539062666654
2026-01-09,Plant B,M-03,663.2299972553453
2026-01-09,Plant B,M-03,609.9443337656504
2026-01-09,Plant B,M-03,644.6036186621535
2026-01-09,Plant B,M-04,296.07801023886486
2026-01-09,Plant B,M-04,329.7537903093382
2026-01-09,Plant B,M-04,464.21112268560404
2026-01-09,Plant B,M-05,477.2885559111674
2026-01-09,Plant B,M-05,356.9528176190095
2026-01-09,Plant B,M-05,344.1351059923427
2026-01-09,Plant C,M-01,543.087698793019
2026-01-09,Plant C,M-01,657.0895170664854
2026-01-09,Plant C,M-01,334.6169246203053
2026-01-09,Plant C,M-02,563.6387143192609
2026-01-09,Plant C,M-02,549.1749364639572
2026-01-09,Plant C,M-02,497.4798402607632
2026-01-09,Plant C,M-03,788.5296831207892
2026-01-09,Plant C,M-03,726.0209489190182
2026-01-09,Plant C,M-03,584.7140381714339
2026-01-09,Plant C,M-04,459.0994613721712
2026-01-09,Plant C,M-04,427.3777077871282
2026-01-09,Plant C,M-04,309.53385236409315
2026-01-09,Plant C,M-05,373.4177944333395
2026-01-09,Plant C,M-05,475.0833209167316
2026-01-09,Plant C,M-05,376.0794785112662
2026-01-10,Plant A,M-01,443.65527863419777
2026-01-10,Plant A,M-01,501.01452489533574
2026-01-10,Plant A,M-01,268.98825805609766
2026-01-10,Plant A,M-02,503.2590302471642
2026-01-10,Plant A,M-02,382.00355874890346
2026-01-10,Plant A,M-02,338.107795081044
2026-01-10,Plant A,M-03,708.1058776796107
2026-01-10,Plant A,M-03,694.5202519845502
2026-01-10,Plant A,M-03,736.3062316724464
2026-01-10,Plant A,M-04,449.22269321191584
2026-01-10,Plant A,M-04,453.0062153405659
2026-01-10,Plant A,M-04,326.8249773435333
2026-01-10,Plant A,M-05,491.7135474655945
2026-01-10,Plant A,M-05,545.5826067924106
2026-01-10,Plant A,M-05,468.30726150957355
2026-01-10,Plant B,M-01,569.1428372283183
2026-01-10,Plant B,M-01,376.03379180595704
2026-01-10,Plant B,M-01,618.5689570830405
2026-01-10,Plant B,M-02,467.9154646986106
2026-01-10,Plant B,M-02,433.411253133077
2026-01-10,Plant B,M-02,536.4993841995681
2026-01-10,Plant B,M-03,789.5616388921169
2026-01-10,Plant B,M-03,699.6715839887814
2026-01-10,Plant B,M-03,830.3313711632176
2026-01-10,Plant B,M-04,308.64484906666087
2026-01-10,Plant B,M-04,535.4700896871682
2026-01-10,Plant B,M-04,252.70721434574122
2026-01-10,Plant B,M-05,506.7994650646278
2026-01-10,Plant B,M-05,433.2375006473703
2026-01-10,Plant B,M-05,440.08844678616805
2026-01-10,Plant C,M-01,336.78096515062254
2026-01-10,Plant C,M-01,469.9162911428349
2026-01-10,Plant C,M-01,547.8107697067637
2026-01-10,Plant C,M-02,394.1611594458719
2026-01-10,Plant C,M-02,422.7715822443308
2026-01-10,Plant C,M-02,364.88416653587205
2026-01-10,Plant C,M-03,625.1336990861492
2026-01-10,Plant C,M-03,822.583060878255
2026-01-10,Plant C,M-03,755.2701222706208
2026-01-10,Plant C,M-04,457.10410256095486
2026-01-10,Plant C,M-04,351.1345065267043
2026-01-10,Plant C,M-04,568.6609527579687
2026-01-10,Plant C,M-05,666.7603383699324
2026-01-10,Plant C,M-05,322.48857902772437
2026-01-10,Plant C,M-05,468.1146681226434
2026-01-11,Plant A,M-01,310.52108391287095
2026-01-11,Plant A,M-01,351.3321032394883
2026-01-11,Plant A,M-01,561.7328575697871
2026-01-11,Plant A,M-02,550.0906332089654
2026-01-11,Plant A,M-02,424.98536931925685
2026-01-11,Plant A,M-02,506.0612959720871
2026-01-11,Plant A,M-03,936.7923014499752
2026-01-11,Plant A,M-03,545.8384242095309
2026-01-11,Plant A,M-03,711.5757499347422
2026-01-11,Plant A,M-04,550.8278293202702
2026-01-11,Plant A,M-04,590.154052811023
2026-01-11,Plant A,M-04,500.25985282700515
2026-01-11,Plant A,M-05,591.9111054377677
2026-01-11,Plant A,M-05,372.6710739046373
2026-01-11,Plant A,M-05,401.77651590279254
2026-01-11,Plant B,M-01,510.3168755024585
2026-01-11,Plant B,M-01,394.6387930532567
2026-01-11,Plant B,M-01,418.3530050661986
2026-01-11,Plant B,M-02,524.2712063097358
2026-01-11,Plant B,M-02,398.86375581113106
2026-01-11,Plant B,M-02,341.5295264062878
2026-01-11,Plant B,M-03,834.6028662215931
2026-01-11,Plant B,M-03,872.3267157335594
2026-01-11,Plant B,M-03,626.9522463879708
2026-01-11,Plant B,M-04,368.3200320209968
2026-01-11,Plant B,M-04,438.83482386998764
2026-01-11,Plant B,M-04,269.2935733911774
2026-01-11,Plant B,M-05,574.4000429629617
2026-01-11,Plant B,M-05,295.4426618131881
2026-01-11,Plant B,M-05,643.4193738990754
2026-01-11,Plant C,M-01,464.0766537405886
2026-01-11,Plant C,M-01,489.7918163248005
2026-01-11,Plant C,M-01,353.29677766720727
2026-01-11,Plant C,M-02,483.8737391908704
2026-01-11,Plant C,M-02,525.6793277063929
2026-01-11,Plant C,M-02,443.43491689931517
2026-01-11,Plant C,M-03,718.5963854744452
2026-01-11,Plant C,M-03,590.1659159463902
2026-01-11,Plant C,M-03,616.1091789347931
2026-01-11,Plant C,M-04,605.642960618484
2026-01-11,Plant C,M-04,532.0995303042187
2026-01-11,Plant C,M-04,612.2062656535339
2026-01-11,Plant C,M-05,544.3930598650485
2026-01-11,Plant C,M-05,498.04590237070295
2026-01-11,Plant C,M-05,494.47741531461253
2026-01-12,Plant A,M-01,393.7944873907909
2026-01-12,Plant A,M-01,422.86145546660583
2026-01-12,Plant A,M-01,339.80230354122546
2026-01-12,Plant A,M-02,528.5301308600076
2026-01-12,Plant A,M-02,595.6070895637704
2026-01-12,Plant A,M-02,584.0466374316424
2026-01-12,Plant A,M-03,784.0077541203982
2026-01-12,Plant A,M-03,748.1441864382155
2026-01-12,Plant A,M-03,763.1380499996616
2026-01-12,Plant A,M-04,478.4798236799772
2026-01-12,Plant A,M-04,377.10174920364227
2026-01-12,Plant A,M-04,404.7137780157764
2026-01-12,Plant A,M-05,465.45550765233077
2026-01-12,Plant A,M-05,544.92450270553
2026-01-12,Plant A,M-05,394.63472946099085
2026-01-12,Plant B,M-01,456.96561409427164
2026-01-12,Plant B,M-01,478.01553961404636
2026-01-12,Plant B,M-01,447.35405812539835
2026-01-12,Plant B,M-02,473.45837274915283
2026-01-12,Plant B,M-02,483.2721690511132
2026-01-12,Plant B,M-02,466.85947435998986
2026-01-12,Plant B,M-03,911.7998300964399
2026-01-12,Plant B,M-03,802.7326381002889
2026-01-12,Plant B,M-03,704.3543196444422
2026-01-12,Plant B,M-04,437.20391086438894
2026-01-12,Plant B,M-04,391.0131659183003
2026-01-12,Plant B,M-04,311.8102275812239
2026-01-12,Plant B,M-05,679.9809155065757
2026-01-12,Plant B,M-05,495.6757836248976
2026-01-12,Plant B,M-05,346.14359335563734
2026-01-12,Plant C,M-01,343.37187110292206
2026-01-12,Plant C,M-01,446.07337039042187
2026-01-12,Plant C,M-01,344.952944085185
2026-01-12,Plant C,M-02,438.7940328499352
2026-01-12,Plant C,M-02,471.45702983741364
2026-01-12,Plant C,M-02,442.290985146096
2026-01-12,Plant C,M-03,872.4214617665621
2026-01-12,Plant C,M-03,858.9101331783876
2026-01-12,Plant C,M-03,828.491664445986
2026-01-12,Plant C,M-04,579.7619428132839
2026-01-12,Plant C,M-04,489.89716156944854
2026-01-12,Plant C,M-04,480.4106833338737
2026-01-12,Plant C,M-05,650.1034744590376
2026-01-12,Plant C,M-05,381.8501382955076
2026-01-12,Plant C,M-05,365.13284892641394
2026-01-13,Plant A,M-01,495.63790477452744
2026-01-13,Plant A,M-01,292.0317497068158
2026-01-13,Plant A,M-01,428.4902275410932
2026-01-13,Plant A,M-02,435.0268352088539
2026-01-13,Plant A,M-02,654.612190997856
2026-01-13,Plant A,M-02,467.94661085952964
2026-01-13,Plant A,M-03,760.3914018746506
2026-01-13,Plant A,M-03,577.6386903235524
2026-01-13,Plant A,M-03,614.1478807263028
2026-01-13,Plant A,M-04,342.0957549984885
2026-01-13,Plant A,M-04,438.1663488460235
2026-01-13,Plant A,M-04,514.0266182973592
2026-01-13,Plant A,M-05,433.43840457261217
2026-01-13,Plant A,M-05,461.09828542049655
2026-01-13,Plant A,M-05,332.92033777381374
2026-01-13,Plant B,M-01,407.0439992158139
2026-01-13,Plant B,M-01,332.88311449376454
2026-01-13,Plant B,M-01,391.0264461038205
2026-01-13,Plant B,M-02,603.5896450094275
2026-01-13,Plant B,M-02,482.5213849148194
2026-01-13,Plant B,M-02,601.0598933380445
2026-01-13,Plant B,M-03,630.8070357693011
2026-01-13,Plant B,M-03,941.3810045492643
2026-01-13,Plant B,M-03,666.1362819138647
2026-01-13,Plant B,M-04,443.68605500571203
2026-01-13,Plant B,M-04,291.7274208913769
2026-01-13,Plant B,M-04,374.84444729386627
2026-01-13,Plant B,M-05,504.5024613257603
2026-01-13,Plant B,M-05,473.3649499111408
2026-01-13,Plant B,M-05,568.7984438050821
2026-01-13,Plant C,M-01,400.16405948894203
2026-01-13,Plant C,M-01,594.2661073504622
2026-01-13,Plant C,M-01,375.67264017361424
2026-01-13,Plant C,M-02,508.2753007601362
2026-01-13,Plant C,M-02,498.8422626395222
2026-01-13,Plant C,M-02,496.6280077001655
2026-01-13,Plant C,M-03,946.327907287737
2026-01-13,Plant C,M-03,723.2114443099113
2026-01-13,Plant C,M-03,613.0196913791477
2026-01-13,Plant C,M-04,575.7917991103981
2026-01-13,Plant C,M-04,404.62113972944974
2026-01-13,Plant C,M-04,417.6078470628693
2026-01-13,Plant C,M-05,693.4664241833266
